date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:02:59	113/113	---M--	200	added ('OK')	text/plain	etag:%221fae0048b4a0fb4a6b4daea630c02a33%22	https://highline.huffingtonpost.com/robots.txt		(from )
01:02:59	168173/168173	---M-Z	200	added ('OK')	text/html	etag:%222c6dfeed553a733d9124d48adcdd7238+gzip%22	https://highline.huffingtonpost.com/articles/en/poor-millennials/	C:/Users/frank/Desktop/mingjie_website/ct/highline.huffingtonpost.com/articles/en/poor-millennials/index.html	(from )
01:02:59	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2007%20Nov%202020%2006:03:00%20GMT	http://highline.huffingtonpost.com/articles/en/poor-millennials/media/images/Avo_facebook.png	C:/Users/frank/Desktop/mingjie_website/ct/highline.huffingtonpost.com/articles/en/poor-millennials/media/images/Avo_facebook.0.delayed	(from https://highline.huffingtonpost.com/articles/en/poor-millennials/)
01:03:00	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2007%20Nov%202020%2006:03:00%20GMT	http://highline.huffingtonpost.com/articles/en/poor-millennials/media/images/Avo_twitter.png	C:/Users/frank/Desktop/mingjie_website/ct/highline.huffingtonpost.com/articles/en/poor-millennials/media/images/Avo_twitter.2.delayed	(from https://highline.huffingtonpost.com/articles/en/poor-millennials/)
01:03:00	93385/93385	---M--	200	added ('OK')	image/png	etag:%22db369c3434f47d6d23ae50b101f8422a%22	https://highline.huffingtonpost.com/articles/en/poor-millennials/media/images/Avo_facebook.png	C:/Users/frank/Desktop/mingjie_website/ct/highline.huffingtonpost.com/articles/en/poor-millennials/media/images/Avo_facebook.png	(from https://highline.huffingtonpost.com/articles/en/poor-millennials/)
01:03:01	48509/48509	---M--	200	added ('OK')	image/png	etag:%22d95c071bcf6ced572fd38afe75c34988%22	https://highline.huffingtonpost.com/articles/en/poor-millennials/media/images/Avo_twitter.png	C:/Users/frank/Desktop/mingjie_website/ct/highline.huffingtonpost.com/articles/en/poor-millennials/media/images/Avo_twitter.png	(from https://highline.huffingtonpost.com/articles/en/poor-millennials/)
01:03:01	85578/85578	---M-Z	200	added ('OK')	application/javascript	etag:W/%22573f4859-14e4a%22	https://code.jquery.com/jquery-2.2.4.min.js	C:/Users/frank/Desktop/mingjie_website/ct/code.jquery.com/jquery-2.2.4.min.js	(from https://highline.huffingtonpost.com/articles/en/poor-millennials/)
01:03:01	45367/45367	---MCZ	200	added ('OK')	application/javascript	etag:%227ad40b02f76ecd6ed5695cf0d8665113-df%22	https://s.yimg.com/ss/rapid-3.44.1.js	C:/Users/frank/Desktop/mingjie_website/ct/s.yimg.com/ss/rapid-3.44.1.js	(from https://highline.huffingtonpost.com/articles/en/poor-millennials/)
01:03:01	21788/21788	---M-Z	200	added ('OK')	application/javascript	etag:%2216b2e40f4ab820f8aa16c8292480b921+gzip%22	https://o.aolcdn.com/os/aol/beacon.min.js	C:/Users/frank/Desktop/mingjie_website/ct/o.aolcdn.com/os/aol/beacon.min.js	(from https://highline.huffingtonpost.com/articles/en/poor-millennials/)
01:03:03	376569/376569	---M-Z	200	added ('OK')	text/css	etag:%2253b330d809993147b3bfd8ba02d715fb+gzip%22	https://highline.huffingtonpost.com/articles/en/poor-millennials/css/main.css	C:/Users/frank/Desktop/mingjie_website/ct/highline.huffingtonpost.com/articles/en/poor-millennials/css/main.css	(from https://highline.huffingtonpost.com/articles/en/poor-millennials/)
01:03:03	3224/3224	---M-Z	200	added ('OK')	application/x-javascript	etag:%2272520655addd8eb459146afcf361853c%22	http://connect.facebook.net/en_US/sdk.js	C:/Users/frank/Desktop/mingjie_website/ct/connect.facebook.net/en_US/sdk.js	(from https://highline.huffingtonpost.com/articles/en/poor-millennials/)
01:03:03	90273/90273	---M-Z	200	added ('OK')	application/x-javascript	date:Sat,%2007%20Nov%202020%2006:03:04%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/frank/Desktop/mingjie_website/ct/connect.facebook.net/en_US/fbevents.js	(from https://highline.huffingtonpost.com/articles/en/poor-millennials/)
